# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         5300      7.70385      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0784636     0.242195    0.0456992   0.00389488 -0.000432113  0.000776141            0            0            0    0.0823585     0.241763    0.0464753
         5400      7.85753      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0811763     0.248799     0.045838   0.00388296 -0.000429735  0.000764633            0            0            0    0.0850593     0.248369    0.0466027
         5500      8.01001      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0771958     0.235661    0.0455896   0.00386471 -0.000422846  0.000751655            0            0            0    0.0810605     0.235238    0.0463413
         5600       8.1615      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0762301     0.231427    0.0458337   0.00388916 -0.000429081  0.000733948            0            0            0    0.0801193     0.230998    0.0465677
         5700      8.31489      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0831253     0.250123    0.0457683   0.00388518 -0.000428368  0.000702356            0            0            0    0.0870105     0.249694    0.0464707
         5800      8.46986      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0811223     0.240508    0.0462366   0.00385122 -0.000412507  0.000694846            0            0            0    0.0849735     0.240095    0.0469315
         5900       8.6237      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0816764     0.239596    0.0467992   0.00383821 -0.000398014  0.000697019            0            0            0    0.0855146     0.239198    0.0474962
         6000       8.7743      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.085582     0.250038    0.0467649   0.00384609 -0.000402589  0.000702982            0            0            0    0.0894281     0.249635    0.0474679
         6100      8.92792      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0847789     0.246895    0.0468646   0.00387768 -0.000415631  0.000706885            0            0            0    0.0886566     0.246479    0.0475715
         6200      9.08072      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0836647     0.243256    0.0469659   0.00391492 -0.000431205  0.000712687            0            0            0    0.0875797     0.242825    0.0476786
         6300      9.23381      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0867453     0.250867    0.0465614   0.00393082  -0.00043899  0.000704372            0            0            0    0.0906761     0.250428    0.0472657
         6400       9.3863      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0875869     0.252379    0.0453979    0.0039341 -0.000452015  0.000703586            0            0            0     0.091521     0.251927    0.0461015
