# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         7300      9.65831      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0645311     0.277228    0.0356666   0.00474139 -0.000834693  0.000607569            0            0            0    0.0692725     0.276393    0.0362742
         7400      9.79179      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0596529     0.260322    0.0355933    0.0047347 -0.000838083  0.000597302            0            0            0    0.0643876     0.259484    0.0361906
         7500      9.92549      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0607841     0.264921    0.0353734   0.00473478 -0.000828524  0.000596665            0            0            0    0.0655189     0.264092    0.0359701
         7600      10.0627      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0599719     0.262574    0.0350278   0.00473002 -0.000832985    0.0005955            0            0            0    0.0647019     0.261741    0.0356233
         7700      10.1974      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0591501     0.259914     0.035391   0.00472034 -0.000824925  0.000591251            0            0            0    0.0638704     0.259089    0.0359823
         7800      10.3321      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0607115     0.264269    0.0352342   0.00470177  -0.00081754  0.000593048            0            0            0    0.0654133     0.263451    0.0358272
         7900       10.465      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0597314     0.260339    0.0353302   0.00469828  -0.00081472  0.000590157            0            0            0    0.0644297     0.259524    0.0359204
         8000      10.5978      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0599839      0.26205    0.0355611   0.00469571 -0.000806824  0.000588705            0            0            0    0.0646796     0.261243    0.0361498
         8100      10.7299      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0637279     0.273783    0.0355828   0.00469641 -0.000808735  0.000593665            0            0            0    0.0684243     0.272974    0.0361765
         8200      10.8616      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0622594     0.268003     0.035402   0.00469841  -0.00081443  0.000596494            0            0            0    0.0669578     0.267189    0.0359985
         8300       10.992      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0641418     0.274399    0.0351526    0.0047043 -0.000818467  0.000599697            0            0            0    0.0688461      0.27358    0.0357523
         8400      11.1235      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0584564     0.256351    0.0356265   0.00471165 -0.000821446  0.000604718            0            0            0     0.063168      0.25553    0.0362312
         8500      11.2552      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0587564     0.258242    0.0356329   0.00471112 -0.000818143  0.000608866            0            0            0    0.0634675     0.257424    0.0362417
         8600      11.3867      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0593846     0.258956    0.0352797   0.00471068 -0.000823095  0.000610601            0            0            0    0.0640953     0.258133    0.0358903
         8700      11.5203      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0608207     0.263716    0.0354414   0.00472238 -0.000826294  0.000612223            0            0            0    0.0655431      0.26289    0.0360537
         8800      11.6557      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0621751     0.268576    0.0349305   0.00474001   -0.0008329  0.000614601            0            0            0    0.0669152     0.267743    0.0355451
         8900      11.7911      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0609223     0.264365    0.0349996   0.00473906 -0.000837745  0.000612554            0            0            0    0.0656613     0.263527    0.0356121
         9000      11.9249      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.060115     0.261788    0.0348553    0.0047406 -0.000837903  0.000612112            0            0            0    0.0648556      0.26095    0.0354675
         9100      12.0576      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0615477     0.265685    0.0347578   0.00472669 -0.000834862  0.000605288            0            0            0    0.0662744      0.26485     0.035363
         9200      12.1908      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0601701     0.260921    0.0351704   0.00472106 -0.000827014   0.00060413            0            0            0    0.0648912     0.260094    0.0357745
         9300       12.321      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0631246     0.270463    0.0352717   0.00471403 -0.000831037  0.000600485            0            0            0    0.0678386     0.269632    0.0358722
         9400      12.4523      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0600524     0.261134    0.0350044   0.00471531 -0.000826389  0.000592602            0            0            0    0.0647677     0.260307     0.035597
         9500      12.5854      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0606842      0.26347    0.0349649   0.00471926 -0.000824399  0.000589642            0            0            0    0.0654034     0.262646    0.0355546
